CountryName,CountryCode,BirthRate,InternetUsers,IncomeGroup,
Aruba,ABW,10.244,78.9,High income,808.2516
Afghanistan,AFG,35.253,5.9,Low income,207.9927
Angola,AGO,45.985,19.1,Upper middle income,878.3135
Albania,ALB,12.877,57.2,Upper middle income,736.5644
United Arab Emirates,ARE,11.044,88,High income,971.872
Argentina,ARG,17.716,59.9,High income,1061.1884
Armenia,ARM,13.308,41.9,Lower middle income,557.6052
Antigua and Barbuda,ATG,16.447,63.4,High income,1042.7398
Australia,AUS,13.2,83,High income,1095.6
Austria,AUT,9.4,80.6188,High income,757.81672
Azerbaijan,AZE,18.3,58.7,Upper middle income,1074.21
Burundi,BDI,44.151,1.3,Low income,57.3963
Belgium,BEL,11.2,82.1702,High income,920.30624
Benin,BEN,36.44,4.9,Low income,178.556
Burkina Faso,BFA,40.551,9.1,Low income,369.0141
Bangladesh,BGD,20.142,6.63,Lower middle income,133.54146
Bulgaria,BGR,9.2,53.0615,Upper middle income,488.1658
Bahrain,BHR,15.04,90.0000397,High income,1353.600597
"Bahamas, The",BHS,15.339,72,High income,1104.408
Bosnia and Herzegovina,BIH,9.062,57.79,Upper middle income,523.69298
Belarus,BLR,12.5,54.17,Upper middle income,677.125
Belize,BLZ,23.092,33.6,Upper middle income,775.8912
Bermuda,BMU,10.4,95.3,High income,991.12
Bolivia,BOL,24.236,36.94,Lower middle income,895.27784
Brazil,BRA,14.931,51.04,Upper middle income,762.07824
Barbados,BRB,12.188,73,High income,889.724
Brunei Darussalam,BRN,16.405,64.5,High income,1058.1225
Bhutan,BTN,18.134,29.9,Lower middle income,542.2066
Botswana,BWA,25.267,15,Upper middle income,379.005
Central African Republic,CAF,34.076,3.5,Low income,119.266
Canada,CAN,10.9,85.8,High income,935.22
Switzerland,CHE,10.2,86.34,High income,880.668
Chile,CHL,13.385,66.5,High income,890.1025
China,CHN,12.1,45.8,Upper middle income,554.18
Cote d'Ivoire,CIV,37.32,8.4,Lower middle income,313.488
Cameroon,CMR,37.236,6.4,Lower middle income,238.3104
"Congo, Rep.",COG,37.011,6.6,Lower middle income,244.2726
Colombia,COL,16.076,51.7,Upper middle income,831.1292
Comoros,COM,34.326,6.5,Low income,223.119
Cabo Verde,CPV,21.625,37.5,Lower middle income,810.9375
Costa Rica,CRI,15.022,45.96,Upper middle income,690.41112
Cuba,CUB,10.4,27.93,Upper middle income,290.472
Cayman Islands,CYM,12.5,74.1,High income,926.25
Cyprus,CYP,11.436,65.4548,High income,748.5410928
Czech Republic,CZE,10.2,74.1104,High income,755.92608
Germany,DEU,8.5,84.17,High income,715.445
Djibouti,DJI,25.486,9.5,Lower middle income,242.117
Denmark,DNK,10,94.6297,High income,946.297
Dominican Republic,DOM,21.198,45.9,Upper middle income,972.9882
Algeria,DZA,24.738,16.5,Upper middle income,408.177
Ecuador,ECU,21.07,40.35368423,Upper middle income,850.2521267
"Egypt, Arab Rep.",EGY,28.032,29.4,Lower middle income,824.1408
Eritrea,ERI,34.8,0.9,Low income,31.32
Spain,ESP,9.1,71.635,High income,651.8785
Estonia,EST,10.3,79.4,High income,817.82
Ethiopia,ETH,32.925,1.9,Low income,62.5575
Finland,FIN,10.7,91.5144,High income,979.20408
Fiji,FJI,20.463,37.1,Upper middle income,759.1773
France,FRA,12.3,81.9198,High income,1007.61354
"Micronesia, Fed. Sts.",FSM,23.511,27.8,Lower middle income,653.6058
Gabon,GAB,30.555,9.2,Upper middle income,281.106
United Kingdom,GBR,12.2,89.8441,High income,1096.09802
Georgia,GEO,13.332,43.3,Lower middle income,577.2756
Ghana,GHA,33.131,12.3,Lower middle income,407.5113
Guinea,GIN,37.337,1.6,Low income,59.7392
"Gambia, The",GMB,42.525,14,Low income,595.35
Guinea-Bissau,GNB,37.503,3.1,Low income,116.2593
Equatorial Guinea,GNQ,35.362,16.4,High income,579.9368
Greece,GRC,8.5,59.8663,High income,508.86355
Grenada,GRD,19.334,35,Upper middle income,676.69
Greenland,GRL,14.5,65.8,High income,954.1
Guatemala,GTM,27.465,19.7,Lower middle income,541.0605
Guam,GUM,17.389,65.4,High income,1137.2406
Guyana,GUY,18.885,35,Lower middle income,660.975
"Hong Kong SAR, China",HKG,7.9,74.2,High income,586.18
Honduras,HND,21.593,17.8,Lower middle income,384.3554
Croatia,HRV,9.4,66.7476,High income,627.42744
Haiti,HTI,25.345,10.6,Low income,268.657
Hungary,HUN,9.2,72.6439,High income,668.32388
Indonesia,IDN,20.297,14.94,Lower middle income,303.23718
India,IND,20.291,15.1,Lower middle income,306.3941
Ireland,IRL,15,78.2477,High income,1173.7155
"Iran, Islamic Rep.",IRN,17.9,29.95,Upper middle income,536.105
Iraq,IRQ,31.093,9.2,Upper middle income,286.0556
Iceland,ISL,13.4,96.5468,High income,1293.72712
Israel,ISR,21.3,70.8,High income,1508.04
Italy,ITA,8.5,58.4593,High income,496.90405
Jamaica,JAM,13.54,37.1,Upper middle income,502.334
Jordan,JOR,27.046,41,Upper middle income,1108.886
Japan,JPN,8.2,89.71,High income,735.622
Kazakhstan,KAZ,22.73,54,Upper middle income,1227.42
Kenya,KEN,35.194,39,Lower middle income,1372.566
Kyrgyz Republic,KGZ,27.2,23,Lower middle income,625.6
Cambodia,KHM,24.462,6.8,Low income,166.3416
Kiribati,KIR,29.044,11.5,Lower middle income,334.006
"Korea, Rep.",KOR,8.6,84.77,High income,729.022
Kuwait,KWT,20.575,75.46,High income,1552.5895
Lao PDR,LAO,27.051,12.5,Lower middle income,338.1375
Lebanon,LBN,13.426,70.5,Upper middle income,946.533
Liberia,LBR,35.521,3.2,Low income,113.6672
Libya,LBY,21.425,16.5,Upper middle income,353.5125
St. Lucia,LCA,15.43,46.2,Upper middle income,712.866
Liechtenstein,LIE,9.2,93.8,High income,862.96
Sri Lanka,LKA,17.863,21.9,Lower middle income,391.1997
Lesotho,LSO,28.738,5,Lower middle income,143.69
Lithuania,LTU,10.1,68.4529,High income,691.37429
Luxembourg,LUX,11.3,93.7765,High income,1059.67445
Latvia,LVA,10.2,75.2344,High income,767.39088
"Macao SAR, China",MAC,11.256,65.8,High income,740.6448
Morocco,MAR,21.023,56,Lower middle income,1177.288
